Permit,Premises Name,Premises Address,Start date,End date,Ext,Table Area,
5,The Standing Order,62-66 George Street,01 April 2019,31 March 2020,22:00,6.0m x 1.5m & 6.0m x 1.2m,
6,Bushwick Bar and Grill,7-11 East London Street,01 June 2019,01 September 2019,22:00,7.85m x 1.8m and 2.5m x 1.8m,
7,La Barantine,202 Bruntsfield Place,01 January 2019,31 December 2019,,2.0m x 1.2m,
10,The Inverleith,10 Bowhill Terrace,18 April 2019,31 August 2019,,4.1m x 3.1m,
11,The Auld Hundred,100-102 Rose Street,15 July 2019,02 September 2019,22:00,3.3m x 2.2m & 3.3m x 2.2m,
12,Angels Share Hotel,7-11 Hope Street,01 May 2019,30 April 2020,22:00,4.8m x 1.4m and 1.5m x 1.4m and 1.5m x 1.4m ,
13,Kalimera Breads Limited,204 Morrison Street,12 April 2019,20 October 2019,,2.0m x 1.50m,
15,Browns,131-133 George Street,01 April 2019,31 March 2020,22:00,5.0m x 2.0m and 4.0m x 2.0m,
16,Foxy Fiddler ,192-194 Morrison Street,25 March 2019,24 March 2020,22:00,3.54m x 1.5m and 3.32m x 1.5m,
17,Milk and Honey,78 Queen Street,26 June 2019,25 June 2019,22:00,2.0m x 1.0m,
19,The Pantry Dovecot,10 Infirmary Street,15 May 2019,14 May 2020,,3.1m x 0.65m,
21,Whighams Wine Cellars,13 Hope Street / Charlotte Square,01 May 2019,30 April 2020,22:00,"5.0m x 1.5m, 2.5m x 1.5m, 1.5m x 1.5m",
22,Planet Bar,6 Baxters Place,10 April 2019,15 November 2019,22:00,3.0m x 1.0m and 2.0m x 1.0m,
23,Maggie Dicksons,92 Grassmarket,01 April 2019,31 March 2020,22:00,5.4m x 2.5m,
24,Biddy Mulligans,94-96 Grassmarket,01 April 2019,31 March 2020,22:00,4.0m x 2.0m and 7.0m x 2.0m,
25,SYGN,15 Charlotte Lane,18 April 2019,31 October 2019,22:00,6.0m x 0.8m,
27,The Movement House,99 Leith Walk,15 May 2019,29 September 2019,,4.0m x 2.0m ,
28,The Last Drop,74-78 Grassmarket,01 April 2019,31 March 2020,22:00,4.0m x 2.5m and 4.1m x 3.1m,
29,The Shoogly Peg,133 Rose Street,11 July 2019,10 July 2020,22:00,4.65m x 2.5m + 2.0m x 2.5m,
30,The Mitre,133-135 High Street,01 April 2019,31 March 2020,22:00,3.3m x 1.6m and 3.3m x 1.6m,
31,One20 Wine Café,120 Dundas Street ,23 May 2019,06 November 2019,22:00,1.5m x 3.0m,
32,The Kenilworth,152-154 Rose Street,01 April 2019,31 March 2020,22:00,9.5m x 3.5m,
33,The White Hart Inn,34 Grassmarket,01 April 2019,31 March 2020,22:00,4.0m x 3.0m and 2.2m x 3.0m ,
34,It's All Good,127 Easter Road,14 June 2019,22 October 2019,,5.89m x 1.2m ,
36,O'Oliviero/El Toro Loco,60-64 Grassmarket,01 May 2019,30 October 2019,22:00,"2.5m x 1.5m, 2.5m x 1.6m, 2.5m x 2.2m, 2.5m x 2.2m",
37,Rocksalt ,10 Jefferey Street,13 June 2019,02 September 2019,,3.08m x 0.70m and 3.0m x 0.70m,
38,Wolfits,200 Rose Street,01 April 2019,30 September 2019,,2.0m x 1.0m,
39,Café Habana,22 Greenside Place,27 May 2019,21 October 2019,,2.6m x1.0m and 3.1m x 1.0m,
41,Harajuku Kitchen ,10 Gillespie Place,01 July 2019,02 September 2019,,2.6m x 1.6m ,
44,Mamma's Pizza Co Ltd,28-30 Grassmarket,01 May 2019,04 September 2019,22:00,5.6m x 3.0m and 1.0m x 3.0m,
45,The Olive Branch,2-2a Broughton Place,01 May 2019,31 October 2019,22:00,8.2m x 1.5m,
46,Starbucks,124 High Street,01 April 2019,31 March 2020,,1.8m x 3.2m & 1.8m 4.5 & 12.0m x 1.8m,
47,Auld Jocks Kitchen,116-118 West Bow,08 May 2019,07 May 2020,22:00,3.5m x 2.7m  & 3.5m x 1.5m ,
48,Greenhouse Collective Ltd,7 Tolbooth Wynd,21 June 2019,20 June 2020,,2.0m x 1.144m,
49,Civerinos ,5 Hunter Square,01 June 2019,30 November 2019,22:00,5.0m x 2.0m and 1.5m x 1.5m,
51,Bross Bagels Limited,186 Portobello High Street,17 June 2019,16 June 2020,,2.0m x 1.0m,
52,Unit 2/3,233/235 Cowgate,02 August 2019,29 August 2019,,9.39m x 2.02m,
55,Pomegrant Express,12 Nicolson Street,18 June 2019,17 June 2020,,3.0m x 1.2m,
56,The Argyle Bar (Roseneath St),15 - 17 Argyle Place,01 April 2019,30 September 2019,22:00,4.5m x 1.0m,
58,The Westroom,3 Melville Place,21 May 2019,20 May 2020,22:00,1.8m x 2.5m,
59,Greek Artisan Pastries,33 Bread Street,08 July 2019,07 July 2020,,1.0m x 0.5m and 1.0m x 0.5m ,
60,Kilimanjaro Coffee,104 Nicolson Street,01 May 2019,30 April 2020,,3.5m x 0.9m ,
61,Café Jacques,10 Grassmarket,01 April 2019,31 March 2020,22:00,2.0m x 2.0m and 1.0m x 2.0m,
63,Southern Cross Café,63a Cockburn Street,01 November 2018,31 October 2019,,3.0m x 2.0m & 2.0m x 1.4m,
66,Filling Station,235-241 High Street,01 April 2019,31 March 2020,22:00,5.78m x 2.1m,
67,Dirty Dicks,159 Rose Street,01 April 2019,31 March 2020,22:00,4.6m x 3.0m and 5.0m x 3.0m - (April-september) and 3.0m x 1.5m (October-March),
68,Fierce Beer,167 Rose Street,01 May 2019,30 September 2019,22:00,5.30m x 3.0m ,
69,Whiski,119 High Street,01 April 2019,31 March 2020,22:00,3.0m x 2.0m,
72,The Orchard,1-2 Howard Place,05 April 2019,29 September 2019,22:00,10.0m x 1.0m ,
74,Frizzante,95 Lothian Road,05 May 2019,05 October 2019,22:00,3.1m x 1.9m,
77,Locanda Marina,61 Cockburn Street,01 March 2019,28 February 2020,22:00,3.5m x 2.5m,
78,Fishers Bistro,1 Shore,01 May 2019,30 September 2019,,6.0m x 1.0m and 2.0m x 3.0m ,
79,Locanda De Gusti,102 Dalry Road,01 June 2019,30 September 2019,22:00,5.0m x 1.5m,
80,Café Grande,182-184 Bruntsfield Place,01 April 2019,31 March 2020,22:00,2.4m x 1m + 3.7m x 1m,
84,Miro's Cantina,184 Rose Street,01 April 2019,31 March 2020,22:00,4.5m x 3.5m,
88,Joseph Pearce’s Bar,23 Elm Row,28 March 2019,29 September 2019,22:00,4.0m x 2.7m and 6.0m x 3.0m and 6.0m x 3.0m,
89,Millers Sandwich Bar,18 Hope Park Terrace,01 August 2019,02 October 2019,,3.0m x 1.5m,
95,Vittoria Restaurant,113 Brunswick Street,25 March 2019,25 September 2019,22:00,8.0m x 4.0m,
98,Hanam's,3 Johnston Terrace,15 June 2019,14 June 2020,22:00,"4.0m x 1.2m  & 6.0mx1.2m
11.0m x 1.2m (15 June - 15 September 2019)",
100,The Wash Bar,11-13 North Bank Street,06 May 2019,05 May 2020,22:00,1.6m x 1.5m,
102,Hendersons ,67 Holyrood Road,03 August 2018,02 August 2019,,5.0m x 1.5m and 5.0m x 1.5m,
106,Frankie and Benny's,130 High Street,01 April 2019,31 March 2020,,6.661m x 1.815m ,
108,Malones Edinburgh,242 Morrison Street,18 January 2019,13 January 2020,22:00,4.0m x 1.5m,
109,Kilted Pig,101b Colinton Road,01 June 2019,30 September 2019,,4.0m x 1.5m ,
110,The Beach House,57 Bath Street,01 April 2019,31 March 2020,,20.0m x 1.0m,
112,Made in Italy,42 Grassmarket,29 June 2019,28 June 2020,22:00,6.8m x 3.0m,
113,Nobles,44a Constitution Street,17 July 2019,16 July 2020,22:00,5.0m x 2.5m ,
114,Kilderkin,65-67 Canongate,02 April 2019,31 August 2019,,7.3m x 1.5m + 5.0m x 1.5m,
115,The Milkman,7 Cockburn Street,27 July 2018,26 July 2019,,1.83 x 1.2m and 1.83m x 1.2m,
117,Spatch,3 Hunter Square,14 June 2019,13 June 2020,22:00,3.5m x 2.5m & 3.5m x 2.0m,
122,Gourmet Burger Kitchen,137 George Street,01 April 2019,31 March 2020,22:00,3.5m x 2.0m,
130,Cold Town House ,4-6 Grassmarket (central area),06 May 2019,30 September 2019,,10.0m x 7.0m (Saturdays not granted),
131,Wildfire,192 Rose Street,20 March 2019,20 October 2019,22:00,6.0m x 3.0m,
132,Cafe Piccolo ,29 Grassmarket,14 June 2019,08 September 2019,,2.40m x 1.60m ,
135,The Clam Shell,148 High Street,01 April 2019,31 March 2020,,1.63m x 1.6m,
136,Broadfields Bar,96 Northfield Broadway,15 April 2019,16 October 2019,,2.0m x 2.0m ,
137,The Principal,15-25  George Street ,01 April 2019,31 March 2020,22:00,"14.3m x 2.8m, 6.60m x 2.80m, 2.27m x 1.73m and 6.73m x 2.85m",
138,The Harp & Castle,298-300 Leith Walk,01 April 2019,30 September 2019,,7.0m x 1.0m ,
143,The Walnut,9 Croall Place,17 April 2019,16 October 2019,,2.9m x 1.2m,
144,Maison Bleue Le Bistrot,370-372 Morningside Road,15 April 2019,30 September 2019,22:00,6.9m x 5.0m,
145,Café Rouge,43 Frederick Street,01 April 2019,31 March 2020,22:00,2.5m x 1.2m & 7.8m x 1.2m,
149,Elephants & Bagels,37 Marshall Street,01 May 2019,16 September 2019,,4.0m x 2.0m (triangular area measures 7m),
150,Pret a Manger,"Unit 7, 25 Castle Street",01 April 2019,31 March 2020,,4.5m x 2.0m,
152,Hummus,366 Morningside Road,01 May 2019,30 April 2020,,1.5m x 1.0m ,
153,Royal Mile Tavern,127 High Street,01 June 2019,31 May 2020,22:00,1.6m x 2.0m & 1.6m x 2.0m,
158,The Villager,49-50 George IV Bridge,01 June 2019,31 May 2020,22:00,"2.3m x 1.0m, 1.9m x 1.0m and 2.2m x 1.0m",
160,The Rosehip,43 Rose Street,05 July 2019,02 September 2019,22:00,5.0m x 1.5m and 5.0m x 1.5m (August 5.0m x 5.0m and 5.0m x 5.0m),
164,Wellington Coffee,33a George Street,10 April 2019,31 October 2019,,9.0m x 0.5m,
165,Ecco Vino,19 Cockburn Street,01 April 2019,31 March 2020,22:00,5.6m x 2.2m,
166,Fiddlers Arms ,9-11 Grassmarket,01 May 2019,30 April 2020,22:00,2.4m x 2.0m & 1.6m x 2.0m,
169,Just Burgers and Beer,192a High Street,20 May 2019,19 May 2020,22:00,4.5m x 3.0m and 2.3m x 3.0m,
170,Café Artista,94-96 Marchmont Crescent,30 May 2019,30 October 2019,,2.0m x 2.0m ,
